"ExperimentalGroup","AnimalID","Sex","Treatment","BS_Original","EvictionStatus","IsolationDate","IsolationPeriod","PairingDate","EvictionDate","EvictionPairingDayDiff","Eviction_GS","EvictionCategory","FirstDCParturitionDate","UrineDate","UrineNumber","UrineDelay","VolumeCollected","NextParturition_ParturitionDate","NextParturition_ParturitionColony"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-25,32590,NA,1.6,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-28,32630,NA,1.3,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-31,32666,NA,0.4,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-02,32691,NA,0.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-04,32715,NA,1.2,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-06,32740,NA,0.2,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-08,32767,NA,0.4,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-10,32788,NA,0.2,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-12,32809,NA,1.7,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-14,32841,NA,0.2,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-16,32862,NA,1,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-18,32892,NA,1.7,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-20,32925,NA,1.4,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-22,32954,NA,1.4,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-24,32982,NA,1.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-06-30,33076,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-07-07,33181,NA,0.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-07-14,33280,NA,1.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-07-21,33386,NA,1,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-07-28,33491,NA,0.2,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-08-04,33580,NA,0.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-08-13,33714,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-08-18,33794,NA,0.2,2023-05-09,"Guinness"
